site,date,o3
Aberdeen,1999-01-01T00:00:00Z,NA
Aberdeen,2000-01-01T00:00:00Z,NA
Aberdeen,2001-01-01T00:00:00Z,NA
Aberdeen,2002-01-01T00:00:00Z,NA
Aberdeen,2003-01-01T00:00:00Z,NA
Aberdeen,2004-01-01T00:00:00Z,54.38561220782366
Aberdeen,2005-01-01T00:00:00Z,49.570768875548374
Aberdeen,2006-01-01T00:00:00Z,48.41702225810172
Aberdeen,2007-01-01T00:00:00Z,46.864
Aberdeen,2008-01-01T00:00:00Z,50.190355622050866
Aberdeen,2009-01-01T00:00:00Z,42.00241925728801
Aberdeen,2010-01-01T00:00:00Z,44.14733383876674
Aberdeen,2011-01-01T00:00:00Z,42.321921065145034
Aberdeen,2012-01-01T00:00:00Z,43.898041012716234
Aberdeen,2013-01-01T00:00:00Z,46.80600423446842
Aberdeen,2014-01-01T00:00:00Z,46.469811997300944
Aberdeen,2015-01-01T00:00:00Z,48.9580581892247
Aberdeen,2016-01-01T00:00:00Z,47.41055771539872
Aberdeen,2017-01-01T00:00:00Z,47.38847886186431
Aberdeen,2018-01-01T00:00:00Z,48.79017894512826
Aberdeen,2019-01-01T00:00:00Z,47.63265084817971
Aberdeen,2020-01-01T00:00:00Z,NA
Aberdeen,2021-01-01T00:00:00Z,53.05237069849246
Aberdeen Erroll Park,2021-01-01T00:00:00Z,43.87704515068493
Aberdeen Erroll Park,2022-01-01T00:00:00Z,54.35251512703739
Aberdeen Erroll Park,2023-01-01T00:00:00Z,56.23449146235078
Aberdeen Erroll Park,2024-01-01T00:00:00Z,55.99598245720954
Aberdeen Union Street Roadside,2008-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2009-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2010-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2011-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2012-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2013-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2014-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2015-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2016-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2017-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2018-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2019-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2020-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2021-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2022-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2023-01-01T00:00:00Z,NA
Aberdeen Union Street Roadside,2024-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2016-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2017-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2018-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2019-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2020-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2021-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2022-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2023-01-01T00:00:00Z,NA
Aberdeen Wellington Road,2024-01-01T00:00:00Z,NA
Armagh Roadside,2009-01-01T00:00:00Z,NA
Armagh Roadside,2010-01-01T00:00:00Z,NA
Armagh Roadside,2011-01-01T00:00:00Z,NA
Armagh Roadside,2012-01-01T00:00:00Z,NA
Armagh Roadside,2013-01-01T00:00:00Z,NA
Armagh Roadside,2014-01-01T00:00:00Z,NA
Armagh Roadside,2015-01-01T00:00:00Z,NA
Armagh Roadside,2016-01-01T00:00:00Z,NA
Armagh Roadside,2017-01-01T00:00:00Z,NA
Armagh Roadside,2018-01-01T00:00:00Z,NA
Armagh Roadside,2019-01-01T00:00:00Z,NA
Armagh Roadside,2020-01-01T00:00:00Z,NA
Armagh Roadside,2021-01-01T00:00:00Z,NA
Armagh Roadside,2022-01-01T00:00:00Z,NA
Armagh Roadside,2023-01-01T00:00:00Z,NA
Armagh Roadside,2024-01-01T00:00:00Z,NA
Aston Hill,1994-01-01T00:00:00Z,65.10921820303383
Aston Hill,1995-01-01T00:00:00Z,63.556079170593776
Aston Hill,1996-01-01T00:00:00Z,57.82607541157727
Aston Hill,1997-01-01T00:00:00Z,55.88025931104614
Aston Hill,1998-01-01T00:00:00Z,62.044908362665375
Aston Hill,1999-01-01T00:00:00Z,65.70599078341014
Aston Hill,2000-01-01T00:00:00Z,62.975364504776266
Aston Hill,2001-01-01T00:00:00Z,NA
Aston Hill,2002-01-01T00:00:00Z,60.990739566155014
Aston Hill,2003-01-01T00:00:00Z,62.25408891960378
Aston Hill,2004-01-01T00:00:00Z,65.93299363057325
Aston Hill,2005-01-01T00:00:00Z,70.34954372184359
Aston Hill,2006-01-01T00:00:00Z,71.93401705177314
Aston Hill,2007-01-01T00:00:00Z,63.408622189091815
Aston Hill,2008-01-01T00:00:00Z,NA
Aston Hill,2009-01-01T00:00:00Z,63.75176970268995
Aston Hill,2010-01-01T00:00:00Z,56.12355658198614
Aston Hill,2011-01-01T00:00:00Z,61.38146476917737
Aston Hill,2012-01-01T00:00:00Z,62.07744455934735
Aston Hill,2013-01-01T00:00:00Z,63.246128270606164
Aston Hill,2014-01-01T00:00:00Z,64.81789671195027
Aston Hill,2015-01-01T00:00:00Z,65.44354038001163
Aston Hill,2016-01-01T00:00:00Z,63.11686763888889
Aston Hill,2017-01-01T00:00:00Z,64.23865405316008
Aston Hill,2018-01-01T00:00:00Z,65.70065823966942
Aston Hill,2019-01-01T00:00:00Z,64.88576176063691
Aston Hill,2020-01-01T00:00:00Z,66.1865179170507
Aston Hill,2021-01-01T00:00:00Z,65.49678233109347
Aston Hill,2022-01-01T00:00:00Z,NA
Aston Hill,2023-01-01T00:00:00Z,NA
Aston Hill,2024-01-01T00:00:00Z,63.367853633961396
Auchencorth Moss,2006-01-01T00:00:00Z,NA
Auchencorth Moss,2007-01-01T00:00:00Z,58.176477337923124
Auchencorth Moss,2008-01-01T00:00:00Z,60.23529411764706
Auchencorth Moss,2009-01-01T00:00:00Z,55.505444327362135
Auchencorth Moss,2010-01-01T00:00:00Z,56.115948670944086
Auchencorth Moss,2011-01-01T00:00:00Z,56.323772372648
Auchencorth Moss,2012-01-01T00:00:00Z,56.38219775177793
Auchencorth Moss,2013-01-01T00:00:00Z,59.717996265711264
Auchencorth Moss,2014-01-01T00:00:00Z,57.61210517651131
Auchencorth Moss,2015-01-01T00:00:00Z,59.78049164284067
Auchencorth Moss,2016-01-01T00:00:00Z,55.90341268078021
Auchencorth Moss,2017-01-01T00:00:00Z,57.65048546122918
Auchencorth Moss,2018-01-01T00:00:00Z,59.006136560055225
Auchencorth Moss,2019-01-01T00:00:00Z,59.52716841273477
Auchencorth Moss,2020-01-01T00:00:00Z,58.89774694275553
Auchencorth Moss,2021-01-01T00:00:00Z,60.73807552449223
Auchencorth Moss,2022-01-01T00:00:00Z,61.57285070378023
Auchencorth Moss,2023-01-01T00:00:00Z,58.60221808517966
Auchencorth Moss,2024-01-01T00:00:00Z,59.21092552487449
Ballymena Antrim Road,2017-01-01T00:00:00Z,NA
Ballymena Antrim Road,2018-01-01T00:00:00Z,NA
Ballymena Antrim Road,2019-01-01T00:00:00Z,NA
Ballymena Antrim Road,2020-01-01T00:00:00Z,NA
Ballymena Antrim Road,2021-01-01T00:00:00Z,NA
