site,nox_p.stars,nox_slope,nox_lower,nox_upper,o3_p.stars,o3_slope,o3_lower,o3_upper,pm2.5_p.stars,pm2.5_slope,pm2.5_lower,pm2.5_upper
Aberdeen,**,-2.4930121698461685,-3.555242928806834,-0.9621596079109292,,0.4708930098465985,-0.3311250372905014,1.4083519308753978,,-0.38727304665528023,-1.1271540786048926,0.40850779273992277
Birmingham A4540 Roadside,**,-3.824201722862256,-11.092500771464616,-1.6288374687763645,***,1.5244089086553185,0.7871867895169159,3.1248407418227178,**,-0.42007871935023683,-0.7952599832681604,-0.12668104426797047
Blackpool Marton,***,-1.1637172925671464,-1.5920796362621492,-0.9711129980649099,+,0.25569980918199064,-0.05560820563134783,0.7114441312637326,,-0.11316179781238805,-0.4281685562665231,0.022774773546576896
Bournemouth,***,-0.8998906441824167,-1.4755269338721049,-0.5128642097511863,*,0.7145399017755194,0.16504193065406786,1.7537881469104868,+,-0.41766206293351793,-1.04031281495216,0.05400536851368307
Bristol St Paul's,**,-2.547467450042111,-3.647114319610465,-1.3100641645757443,***,0.9620894312242982,0.4380685527637027,1.9530375566607685,*,-0.38617893703894646,-0.73807754632855,-0.2025348668984194
Cardiff Centre,***,-1.8505422641318034,-2.3242818174248034,-1.0160707690377677,***,1.0724232768322022,0.6572499765765761,1.6112440381110629,,-0.2135710853048597,-0.5769736661935992,0.1478250554898929
Chilbolton Observatory,**,-1.4748801220626886,-2.6349158445100187,-0.5701395621328329,,0.7554683445098288,-0.40645548854897645,2.2247745775406433,,-0.388983121339397,-0.4602835270159627,0.01346826906687261
Coventry Allesley,***,-1.9748039068600374,-2.8702005677588716,-1.516517613475424,**,0.9474006424516667,0.41260693724610253,1.388718630214938,***,-0.5643935267697251,-0.7751198573915287,-0.4666076551601818
Derry Rosemount,+,-0.4419815574460953,-0.9288222681484567,0.06912172561469235,,0.2385928162015445,-0.5809008072246278,0.8668021951722793,,-0.14501669921949636,-0.4380223329114351,0.3324620660042452
Edinburgh St Leonards,*,-2.000065017974618,-3.4578243086738394,-1.0222451339895777,**,1.3669900933134864,0.6022433740888428,2.3402315387094315,*,-0.17942330976963639,-0.3957270627613008,-0.025663316842782915
Glasgow Townhead,***,-2.549515142342509,-3.3928161450684007,-1.433642604443767,***,1.187065399017107,0.38656315185396656,1.7646412916997392,*,-0.22485111107618364,-0.4569101617730547,-0.11915972842341258
Hull Freetown,***,-1.878677056940952,-2.3596540707223452,-1.297850129687981,***,1.1579387287004892,0.5975230711747717,1.6802970871807261,***,-0.4180167775006097,-0.544995163238902,-0.28061951913054833
Leamington Spa,**,-1.9006453605194507,-2.877513623294608,-0.8239137285423915,,0.9288706807109648,-0.35121375555080886,1.7243619747323016,***,-0.6578124824482908,-0.871252971320093,-0.47412335661908056
Leeds Centre,***,-3.853395787184854,-4.521883927360648,-2.805873190920271,***,1.4552048944326725,1.1292664560495762,2.121156161502917,*,-0.41868307909656005,-0.6932968711148144,-0.142414978284019
Leicester University,***,-2.141537740359577,-3.1553658143243006,-1.846236178325744,+,1.087799839405958,-0.24850719697110613,1.7860804101094314,***,-0.6363083827093653,-0.8939459798312335,-0.5317349031810664
Liverpool Speke,***,-1.9396925013292823,-2.608198466939443,-0.9776775796501352,*,0.7211969677000638,0.23090114014106544,1.3787017016628376,+,-0.3093748649335331,-0.7722739400182107,0.29184399677762407
London Bloomsbury,***,-5.52666198391512,-6.739236115390835,-4.6123061721122625,***,2.8567614564648163,1.8613485538832426,3.8804917452579697,***,-0.5339874937459032,-0.8281356503257244,-0.18951641173037123
London Eltham,*,-2.2977488714052097,-3.843469615294638,-0.36028829983096256,,0.3249921734190764,-1.6085212777150453,3.161543468192018,NA,NA,NA,NA
London Harlington,***,-4.038236812032784,-6.15671273780753,-2.7532576700363403,**,1.2713917442643987,0.40109738172410797,2.116802918295724,***,-0.4323704351439616,-0.7567833063219623,-0.3503298031780514
London Marylebone Road,***,-28.954453159972775,-39.54403772732349,-15.555430712051015,***,1.904033999238586,1.627723771265591,2.616009871842122,***,-0.6953210418639421,-0.9176609020022934,-0.5106093470688429
London N. Kensington,***,-3.6965007347605194,-6.21123689966632,-2.856983923112386,***,1.7261815498924342,1.1169102757403286,2.589842279514482,**,-0.4879012577373413,-0.678850124748274,-0.28368638779070143
Manchester Piccadilly,***,-3.450848946338544,-4.862634899700838,-3.036139425555821,*,1.5804290531967145,0.5149117266359827,2.527435185673761,,-0.2627319743378844,-0.6370665831594866,0.2561927883336898
Middlesbrough,*,-0.9161480694647448,-1.5150400737443053,-0.39606989353610444,,0.5488618469842811,-0.3049883251785096,1.007619110845983,+,-0.5387849245108273,-0.8824316197053883,0.06103064025633179
